Speaker		Gender	#Lines	Play	TopVillain	Fools
Bottom		Male	255	A Midsummer Night's Dream		fool
Theseus		Male	235	A Midsummer Night's Dream		
Helena		Female	230	A Midsummer Night's Dream		
Oberon		Male	225	A Midsummer Night's Dream		
Puck		Male	206	A Midsummer Night's Dream		fool
Lysander		Male	179	A Midsummer Night's Dream		
Hermia		Female	164	A Midsummer Night's Dream		
Titania		Female	141	A Midsummer Night's Dream		
Demetrius		Male	136	A Midsummer Night's Dream		
Quince		Male	121	A Midsummer Night's Dream		
Flute		Male	57	A Midsummer Night's Dream		
Egeus		Male	41	A Midsummer Night's Dream		
Hippolyta		Female	35	A Midsummer Night's Dream		
Fairy		Male	28	A Midsummer Night's Dream		
Philostrate		Male	24	A Midsummer Night's Dream		
Snout		Male	22	A Midsummer Night's Dream		
Chorus		Male	14	A Midsummer Night's Dream		
Snug		Male	14	A Midsummer Night's Dream		
Starveling		Male	11	A Midsummer Night's Dream		
First Fairy		Male	8	A Midsummer Night's Dream		
Mustardseed		Male	5	A Midsummer Night's Dream		
Peaseblossom		Male	4	A Midsummer Night's Dream		
Cobweb		Male	4	A Midsummer Night's Dream		
Second Fairy		Male	2	A Midsummer Night's Dream		
Moth		Male	2	A Midsummer Night's Dream		
All Fairies		Male	1	A Midsummer Night's Dream		
All Mechanicals		Male	1	A Midsummer Night's Dream		
Helena		Female	478	All's Well That Ends Well		
King		Male	380	All's Well That Ends Well		
Parolles		Male	373	All's Well That Ends Well		
Countess		Female	291	All's Well That Ends Well		
Bertram		Male	277	All's Well That Ends Well		
Lafew		Male	276	All's Well That Ends Well		
Clown		Male	195	All's Well That Ends Well		fool
First Lord		Male	173	All's Well That Ends Well		
Diana		Female	138	All's Well That Ends Well		
Second Lord		Male	119	All's Well That Ends Well		
First Soldier		Male	82	All's Well That Ends Well		
Widow		Female	64	All's Well That Ends Well		
Steward		Male	42	All's Well That Ends Well		
Gentleman		Male	21	All's Well That Ends Well		
Mariana		Female	20	All's Well That Ends Well		
Duke		Male	19	All's Well That Ends Well		
Epilogue		Male	6	All's Well That Ends Well		
Messenger		Male	4	All's Well That Ends Well		
Second Soldier		Male	2	All's Well That Ends Well		
Page		Male	1	All's Well That Ends Well		
Both Lords		Male	1	All's Well That Ends Well		
All Soldiers		Male	1	All's Well That Ends Well		
All The Lords		Male	1	All's Well That Ends Well		
Attendant		Male	1	All's Well That Ends Well		
Fourth Lord		Male	1	All's Well That Ends Well		
Widow And Mariana		Female	1	All's Well That Ends Well		
Antony		Male	839	Antony and Cleopatra		
Cleopatra		Female	678	Antony and Cleopatra		
Caesar		Male	419	Antony and Cleopatra		
Enobarbus		Male	346	Antony and Cleopatra		
Pompey		Male	136	Antony and Cleopatra		
Charmian		Female	109	Antony and Cleopatra		
Lepidus		Male	67	Antony and Cleopatra		
Menas		Male	62	Antony and Cleopatra		
Agrippa		Male	60	Antony and Cleopatra		
Eros		Male	47	Antony and Cleopatra		
Dolabella		Male	47	Antony and Cleopatra		
Messenger To Cleopatra		Male	42	Antony and Cleopatra		
Scarus		Male	40	Antony and Cleopatra		
Octavia		Female	36	Antony and Cleopatra		
Maecenas		Male	36	Antony and Cleopatra		
Alexas		Male	32	Antony and Cleopatra		
Proculeius		Male	32	Antony and Cleopatra		
Soothsayer		Male	31	Antony and Cleopatra		
Thidias		Male	31	Antony and Cleopatra		
Ventidius		Male	30	Antony and Cleopatra		
Soldier		Male	29	Antony and Cleopatra		
Clown		Male	27	Antony and Cleopatra		
Iras		Female	26	Antony and Cleopatra		
Canidius		Male	25	Antony and Cleopatra		
Decretas		Male	21	Antony and Cleopatra		
Messenger		Male	20	Antony and Cleopatra		
Mardian		Male	19	Antony and Cleopatra		
Diomedes		Male	19	Antony and Cleopatra		
Messenger To Caesar		Male	18	Antony and Cleopatra		
Philo		Male	17	Antony and Cleopatra		
Ambassador		Male	16	Antony and Cleopatra		
Sentry		Male	14	Antony and Cleopatra		
First Guard Of Caesar'S		Male	14	Antony and Cleopatra		
First Soldier		Male	14	Antony and Cleopatra		
Second Soldier		Male	13	Antony and Cleopatra		
Silius		Male	11	Antony and Cleopatra		
Soldier Of Caesar'S		Male	9	Antony and Cleopatra		
First Servant		Male	9	Antony and Cleopatra		
Second Servant		Male	7	Antony and Cleopatra		
Second Watch		Male	6	Antony and Cleopatra		
First Watch		Male	6	Antony and Cleopatra		
Menecrates		Male	6	Antony and Cleopatra		
Boy		Male	6	Antony and Cleopatra		
Egyptian		Male	6	Antony and Cleopatra		
Demetrius		Male	5	Antony and Cleopatra		
First Guard		Male	5	Antony and Cleopatra		
Seleucus		Male	5	Antony and Cleopatra		
Second Messenger		Male	4	Antony and Cleopatra		
Guardsman		Male	4	Antony and Cleopatra		
Third Soldier		Male	4	Antony and Cleopatra		
Varrius		Male	4	Antony and Cleopatra		
All		Male	4	Antony and Cleopatra		
All The Guards		Male	3	Antony and Cleopatra		
Servant		Male	3	Antony and Cleopatra		
Second Guard		Male	2	Antony and Cleopatra		
Second Guard Of Caesar'S		Male	2	Antony and Cleopatra		
Gallus		Male	2	Antony and Cleopatra		
All Soldiers		Male	2	Antony and Cleopatra		
All Attendants		Male	1	Antony and Cleopatra		
All Caesar'S Attendants		Male	1	Antony and Cleopatra		
All Lords		Male	1	Antony and Cleopatra		
Third Guard		Male	1	Antony and Cleopatra		
Taurus		Male	1	Antony and Cleopatra		
